audio_id,label,src_path,dst_path,duration_sec,sample_rate,snr_db,noise_source,codec,bandpass_hz,ts
anger_00022,anger,data/synthetic/audio/anger/anger_00022.wav,data/synthetic/audio_phone/anger/anger_00022.wav,7.9,16000,24.0,synthetic,mu_law_8k,300-3400,1778143770.4005315
anger_00030,anger,data/synthetic/audio/anger/anger_00030.wav,data/synthetic/audio_phone/anger/anger_00030.wav,5.85,16000,24.1,synthetic,mu_law_8k,300-3400,1778143770.405518
anger_00029,anger,data/synthetic/audio/anger/anger_00029.wav,data/synthetic/audio_phone/anger/anger_00029.wav,8.8,16000,20.66,synthetic,mu_law_8k,300-3400,1778143770.412499
anger_00033,anger,data/synthetic/audio/anger/anger_00033.wav,data/synthetic/audio_phone/anger/anger_00033.wav,7.7,16000,15.29,synthetic,mu_law_8k,300-3400,1778143770.421475
anger_00034,anger,data/synthetic/audio/anger/anger_00034.wav,data/synthetic/audio_phone/anger/anger_00034.wav,7.55,16000,22.41,synthetic,mu_law_8k,300-3400,1778143770.4424186
anger_00036,anger,data/synthetic/audio/anger/anger_00036.wav,data/synthetic/audio_phone/anger/anger_00036.wav,7.3,16000,20.64,synthetic,mu_law_8k,300-3400,1778143770.443416
anger_00037,anger,data/synthetic/audio/anger/anger_00037.wav,data/synthetic/audio_phone/anger/anger_00037.wav,6.65,16000,18.16,synthetic,mu_law_8k,300-3400,1778143770.4474063
anger_00038,anger,data/synthetic/audio/anger/anger_00038.wav,data/synthetic/audio_phone/anger/anger_00038.wav,6.45,16000,16.77,synthetic,mu_law_8k,300-3400,1778143770.455384
anger_00041,anger,data/synthetic/audio/anger/anger_00041.wav,data/synthetic/audio_phone/anger/anger_00041.wav,7.35,16000,18.7,synthetic,mu_law_8k,300-3400,1778143770.4773257
anger_00043,anger,data/synthetic/audio/anger/anger_00043.wav,data/synthetic/audio_phone/anger/anger_00043.wav,6.0,16000,24.76,synthetic,mu_law_8k,300-3400,1778143770.485304
anger_00042,anger,data/synthetic/audio/anger/anger_00042.wav,data/synthetic/audio_phone/anger/anger_00042.wav,8.0,16000,16.29,synthetic,mu_law_8k,300-3400,1778143770.4882965
anger_00040,anger,data/synthetic/audio/anger/anger_00040.wav,data/synthetic/audio_phone/anger/anger_00040.wav,8.15,16000,19.24,synthetic,mu_law_8k,300-3400,1778143770.4892938
anger_00049,anger,data/synthetic/audio/anger/anger_00049.wav,data/synthetic/audio_phone/anger/anger_00049.wav,5.55,16000,22.18,synthetic,mu_law_8k,300-3400,1778143770.5222054
anger_00048,anger,data/synthetic/audio/anger/anger_00048.wav,data/synthetic/audio_phone/anger/anger_00048.wav,7.15,16000,23.72,synthetic,mu_law_8k,300-3400,1778143770.5242004
anger_00046,anger,data/synthetic/audio/anger/anger_00046.wav,data/synthetic/audio_phone/anger/anger_00046.wav,6.7,16000,18.5,synthetic,mu_law_8k,300-3400,1778143770.5271928
anger_00044,anger,data/synthetic/audio/anger/anger_00044.wav,data/synthetic/audio_phone/anger/anger_00044.wav,9.55,16000,17.77,synthetic,mu_law_8k,300-3400,1778143770.531182
anger_00054,anger,data/synthetic/audio/anger/anger_00054.wav,data/synthetic/audio_phone/anger/anger_00054.wav,7.2,16000,17.94,synthetic,mu_law_8k,300-3400,1778143770.561102
anger_00055,anger,data/synthetic/audio/anger/anger_00055.wav,data/synthetic/audio_phone/anger/anger_00055.wav,6.05,16000,22.33,synthetic,mu_law_8k,300-3400,1778143770.564093
anger_00053,anger,data/synthetic/audio/anger/anger_00053.wav,data/synthetic/audio_phone/anger/anger_00053.wav,6.85,16000,16.77,synthetic,mu_law_8k,300-3400,1778143770.5690804
anger_00052,anger,data/synthetic/audio/anger/anger_00052.wav,data/synthetic/audio_phone/anger/anger_00052.wav,9.85,16000,21.4,synthetic,mu_law_8k,300-3400,1778143770.5730689
anger_00057,anger,data/synthetic/audio/anger/anger_00057.wav,data/synthetic/audio_phone/anger/anger_00057.wav,7.8,16000,16.12,synthetic,mu_law_8k,300-3400,1778143770.5980043
anger_00061,anger,data/synthetic/audio/anger/anger_00061.wav,data/synthetic/audio_phone/anger/anger_00061.wav,7.9,16000,15.79,synthetic,mu_law_8k,300-3400,1778143770.6059828
anger_00067,anger,data/synthetic/audio/anger/anger_00067.wav,data/synthetic/audio_phone/anger/anger_00067.wav,7.0,16000,19.7,synthetic,mu_law_8k,300-3400,1778143770.6089733
anger_00064,anger,data/synthetic/audio/anger/anger_00064.wav,data/synthetic/audio_phone/anger/anger_00064.wav,8.6,16000,20.1,synthetic,mu_law_8k,300-3400,1778143770.6149569
anger_00070,anger,data/synthetic/audio/anger/anger_00070.wav,data/synthetic/audio_phone/anger/anger_00070.wav,7.15,16000,19.39,synthetic,mu_law_8k,300-3400,1778143770.635901
anger_00073,anger,data/synthetic/audio/anger/anger_00073.wav,data/synthetic/audio_phone/anger/anger_00073.wav,6.8,16000,15.74,synthetic,mu_law_8k,300-3400,1778143770.6438797
anger_00072,anger,data/synthetic/audio/anger/anger_00072.wav,data/synthetic/audio_phone/anger/anger_00072.wav,8.25,16000,22.35,synthetic,mu_law_8k,300-3400,1778143770.6468716
anger_00074,anger,data/synthetic/audio/anger/anger_00074.wav,data/synthetic/audio_phone/anger/anger_00074.wav,8.1,16000,21.03,synthetic,mu_law_8k,300-3400,1778143770.6568453
anger_00076,anger,data/synthetic/audio/anger/anger_00076.wav,data/synthetic/audio_phone/anger/anger_00076.wav,8.9,16000,22.64,synthetic,mu_law_8k,300-3400,1778143770.6797836
anger_00077,anger,data/synthetic/audio/anger/anger_00077.wav,data/synthetic/audio_phone/anger/anger_00077.wav,8.85,16000,18.93,synthetic,mu_law_8k,300-3400,1778143770.6857674
anger_00084,anger,data/synthetic/audio/anger/anger_00084.wav,data/synthetic/audio_phone/anger/anger_00084.wav,7.0,16000,15.74,synthetic,mu_law_8k,300-3400,1778143770.6857674
anger_00085,anger,data/synthetic/audio/anger/anger_00085.wav,data/synthetic/audio_phone/anger/anger_00085.wav,7.85,16000,24.99,synthetic,mu_law_8k,300-3400,1778143770.7007275
anger_00086,anger,data/synthetic/audio/anger/anger_00086.wav,data/synthetic/audio_phone/anger/anger_00086.wav,7.1,16000,17.69,synthetic,mu_law_8k,300-3400,1778143770.7176826
anger_00091,anger,data/synthetic/audio/anger/anger_00091.wav,data/synthetic/audio_phone/anger/anger_00091.wav,6.65,16000,16.03,synthetic,mu_law_8k,300-3400,1778143770.7206748
anger_00090,anger,data/synthetic/audio/anger/anger_00090.wav,data/synthetic/audio_phone/anger/anger_00090.wav,8.25,16000,19.01,synthetic,mu_law_8k,300-3400,1778143770.7266583
anger_00092,anger,data/synthetic/audio/anger/anger_00092.wav,data/synthetic/audio_phone/anger/anger_00092.wav,8.2,16000,15.19,synthetic,mu_law_8k,300-3400,1778143770.7456079
anger_00095,anger,data/synthetic/audio/anger/anger_00095.wav,data/synthetic/audio_phone/anger/anger_00095.wav,7.75,16000,18.05,synthetic,mu_law_8k,300-3400,1778143770.761567
anger_00094,anger,data/synthetic/audio/anger/anger_00094.wav,data/synthetic/audio_phone/anger/anger_00094.wav,10.35,16000,21.2,synthetic,mu_law_8k,300-3400,1778143770.7695444
anger_00096,anger,data/synthetic/audio/anger/anger_00096.wav,data/synthetic/audio_phone/anger/anger_00096.wav,8.45,16000,15.83,synthetic,mu_law_8k,300-3400,1778143770.7745297
anger_00097,anger,data/synthetic/audio/anger/anger_00097.wav,data/synthetic/audio_phone/anger/anger_00097.wav,10.3,16000,15.92,synthetic,mu_law_8k,300-3400,1778143770.7944772
anger_00101,anger,data/synthetic/audio/anger/anger_00101.wav,data/synthetic/audio_phone/anger/anger_00101.wav,7.15,16000,18.3,synthetic,mu_law_8k,300-3400,1778143770.806445
anger_00098,anger,data/synthetic/audio/anger/anger_00098.wav,data/synthetic/audio_phone/anger/anger_00098.wav,9.55,16000,16.86,synthetic,mu_law_8k,300-3400,1778143770.8124297
anger_00103,anger,data/synthetic/audio/anger/anger_00103.wav,data/synthetic/audio_phone/anger/anger_00103.wav,7.7,16000,21.84,synthetic,mu_law_8k,300-3400,1778143770.8154206
anger_00107,anger,data/synthetic/audio/anger/anger_00107.wav,data/synthetic/audio_phone/anger/anger_00107.wav,7.45,16000,19.03,synthetic,mu_law_8k,300-3400,1778143770.8453407
anger_00106,anger,data/synthetic/audio/anger/anger_00106.wav,data/synthetic/audio_phone/anger/anger_00106.wav,10.05,16000,17.09,synthetic,mu_law_8k,300-3400,1778143770.8483346
anger_00112,anger,data/synthetic/audio/anger/anger_00112.wav,data/synthetic/audio_phone/anger/anger_00112.wav,9.45,16000,19.36,synthetic,mu_law_8k,300-3400,1778143770.858306
anger_00109,anger,data/synthetic/audio/anger/anger_00109.wav,data/synthetic/audio_phone/anger/anger_00109.wav,10.1,16000,19.99,synthetic,mu_law_8k,300-3400,1778143770.8682795
anger_00116,anger,data/synthetic/audio/anger/anger_00116.wav,data/synthetic/audio_phone/anger/anger_00116.wav,7.35,16000,15.52,synthetic,mu_law_8k,300-3400,1778143770.888226
anger_00115,anger,data/synthetic/audio/anger/anger_00115.wav,data/synthetic/audio_phone/anger/anger_00115.wav,9.4,16000,18.51,synthetic,mu_law_8k,300-3400,1778143770.8932133
anger_00117,anger,data/synthetic/audio/anger/anger_00117.wav,data/synthetic/audio_phone/anger/anger_00117.wav,8.25,16000,17.14,synthetic,mu_law_8k,300-3400,1778143770.895208
anger_00120,anger,data/synthetic/audio/anger/anger_00120.wav,data/synthetic/audio_phone/anger/anger_00120.wav,9.0,16000,24.09,synthetic,mu_law_8k,300-3400,1778143770.911164
anger_00126,anger,data/synthetic/audio/anger/anger_00126.wav,data/synthetic/audio_phone/anger/anger_00126.wav,7.0,16000,16.94,synthetic,mu_law_8k,300-3400,1778143770.9271219
anger_00125,anger,data/synthetic/audio/anger/anger_00125.wav,data/synthetic/audio_phone/anger/anger_00125.wav,8.8,16000,24.66,synthetic,mu_law_8k,300-3400,1778143770.930114
anger_00128,anger,data/synthetic/audio/anger/anger_00128.wav,data/synthetic/audio_phone/anger/anger_00128.wav,6.75,16000,23.53,synthetic,mu_law_8k,300-3400,1778143770.933106
anger_00131,anger,data/synthetic/audio/anger/anger_00131.wav,data/synthetic/audio_phone/anger/anger_00131.wav,7.4,16000,16.18,synthetic,mu_law_8k,300-3400,1778143770.9510577
anger_00133,anger,data/synthetic/audio/anger/anger_00133.wav,data/synthetic/audio_phone/anger/anger_00133.wav,8.5,16000,17.31,synthetic,mu_law_8k,300-3400,1778143770.967015
anger_00138,anger,data/synthetic/audio/anger/anger_00138.wav,data/synthetic/audio_phone/anger/anger_00138.wav,7.1,16000,19.21,synthetic,mu_law_8k,300-3400,1778143770.971005
anger_00137,anger,data/synthetic/audio/anger/anger_00137.wav,data/synthetic/audio_phone/anger/anger_00137.wav,8.6,16000,24.03,synthetic,mu_law_8k,300-3400,1778143770.9749942
anger_00139,anger,data/synthetic/audio/anger/anger_00139.wav,data/synthetic/audio_phone/anger/anger_00139.wav,6.15,16000,21.49,synthetic,mu_law_8k,300-3400,1778143770.9879587
anger_00141,anger,data/synthetic/audio/anger/anger_00141.wav,data/synthetic/audio_phone/anger/anger_00141.wav,6.8,16000,21.65,synthetic,mu_law_8k,300-3400,1778143771.0079067
anger_00140,anger,data/synthetic/audio/anger/anger_00140.wav,data/synthetic/audio_phone/anger/anger_00140.wav,8.6,16000,20.18,synthetic,mu_law_8k,300-3400,1778143771.0128927
anger_00142,anger,data/synthetic/audio/anger/anger_00142.wav,data/synthetic/audio_phone/anger/anger_00142.wav,7.25,16000,22.21,synthetic,mu_law_8k,300-3400,1778143771.0158844
anger_00144,anger,data/synthetic/audio/anger/anger_00144.wav,data/synthetic/audio_phone/anger/anger_00144.wav,8.9,16000,17.43,synthetic,mu_law_8k,300-3400,1778143771.034834
anger_00148,anger,data/synthetic/audio/anger/anger_00148.wav,data/synthetic/audio_phone/anger/anger_00148.wav,5.5,16000,20.1,synthetic,mu_law_8k,300-3400,1778143771.0517893
anger_00145,anger,data/synthetic/audio/anger/anger_00145.wav,data/synthetic/audio_phone/anger/anger_00145.wav,7.7,16000,24.22,synthetic,mu_law_8k,300-3400,1778143771.0537837
anger_00147,anger,data/synthetic/audio/anger/anger_00147.wav,data/synthetic/audio_phone/anger/anger_00147.wav,9.35,16000,15.75,synthetic,mu_law_8k,300-3400,1778143771.0667484
anger_00149,anger,data/synthetic/audio/anger/anger_00149.wav,data/synthetic/audio_phone/anger/anger_00149.wav,9.55,16000,24.64,synthetic,mu_law_8k,300-3400,1778143771.0936763
anger_00151,anger,data/synthetic/audio/anger/anger_00151.wav,data/synthetic/audio_phone/anger/anger_00151.wav,7.45,16000,21.93,synthetic,mu_law_8k,300-3400,1778143771.1006594
anger_00156,anger,data/synthetic/audio/anger/anger_00156.wav,data/synthetic/audio_phone/anger/anger_00156.wav,9.4,16000,15.81,synthetic,mu_law_8k,300-3400,1778143771.108637
anger_00157,anger,data/synthetic/audio/anger/anger_00157.wav,data/synthetic/audio_phone/anger/anger_00157.wav,9.95,16000,19.81,synthetic,mu_law_8k,300-3400,1778143771.1335702
anger_00159,anger,data/synthetic/audio/anger/anger_00159.wav,data/synthetic/audio_phone/anger/anger_00159.wav,8.55,16000,19.45,synthetic,mu_law_8k,300-3400,1778143771.142546
anger_00165,anger,data/synthetic/audio/anger/anger_00165.wav,data/synthetic/audio_phone/anger/anger_00165.wav,7.1,16000,21.6,synthetic,mu_law_8k,300-3400,1778143771.155511
anger_00163,anger,data/synthetic/audio/anger/anger_00163.wav,data/synthetic/audio_phone/anger/anger_00163.wav,8.35,16000,15.08,synthetic,mu_law_8k,300-3400,1778143771.1585028
anger_00168,anger,data/synthetic/audio/anger/anger_00168.wav,data/synthetic/audio_phone/anger/anger_00168.wav,8.25,16000,16.17,synthetic,mu_law_8k,300-3400,1778143771.1794474
anger_00170,anger,data/synthetic/audio/anger/anger_00170.wav,data/synthetic/audio_phone/anger/anger_00170.wav,6.45,16000,22.27,synthetic,mu_law_8k,300-3400,1778143771.1914146
anger_00169,anger,data/synthetic/audio/anger/anger_00169.wav,data/synthetic/audio_phone/anger/anger_00169.wav,7.9,16000,21.41,synthetic,mu_law_8k,300-3400,1778143771.1934097
anger_00172,anger,data/synthetic/audio/anger/anger_00172.wav,data/synthetic/audio_phone/anger/anger_00172.wav,5.45,16000,17.49,synthetic,mu_law_8k,300-3400,1778143771.1954045
anger_00174,anger,data/synthetic/audio/anger/anger_00174.wav,data/synthetic/audio_phone/anger/anger_00174.wav,7.75,16000,20.91,synthetic,mu_law_8k,300-3400,1778143771.2263224
anger_00178,anger,data/synthetic/audio/anger/anger_00178.wav,data/synthetic/audio_phone/anger/anger_00178.wav,7.65,16000,16.65,synthetic,mu_law_8k,300-3400,1778143771.2362947
anger_00180,anger,data/synthetic/audio/anger/anger_00180.wav,data/synthetic/audio_phone/anger/anger_00180.wav,7.8,16000,16.9,synthetic,mu_law_8k,300-3400,1778143771.240284
anger_00181,anger,data/synthetic/audio/anger/anger_00181.wav,data/synthetic/audio_phone/anger/anger_00181.wav,8.25,16000,16.83,synthetic,mu_law_8k,300-3400,1778143771.2442734
anger_00186,anger,data/synthetic/audio/anger/anger_00186.wav,data/synthetic/audio_phone/anger/anger_00186.wav,6.1,16000,15.68,synthetic,mu_law_8k,300-3400,1778143771.2692068
anger_00185,anger,data/synthetic/audio/anger/anger_00185.wav,data/synthetic/audio_phone/anger/anger_00185.wav,7.65,16000,24.28,synthetic,mu_law_8k,300-3400,1778143771.2702038
anger_00188,anger,data/synthetic/audio/anger/anger_00188.wav,data/synthetic/audio_phone/anger/anger_00188.wav,6.4,16000,18.55,synthetic,mu_law_8k,300-3400,1778143771.2781837
anger_00189,anger,data/synthetic/audio/anger/anger_00189.wav,data/synthetic/audio_phone/anger/anger_00189.wav,8.25,16000,19.79,synthetic,mu_law_8k,300-3400,1778143771.2871585
anger_00195,anger,data/synthetic/audio/anger/anger_00195.wav,data/synthetic/audio_phone/anger/anger_00195.wav,7.5,16000,15.47,synthetic,mu_law_8k,300-3400,1778143771.3051107
anger_00196,anger,data/synthetic/audio/anger/anger_00196.wav,data/synthetic/audio_phone/anger/anger_00196.wav,7.15,16000,17.63,synthetic,mu_law_8k,300-3400,1778143771.3120918
anger_00197,anger,data/synthetic/audio/anger/anger_00197.wav,data/synthetic/audio_phone/anger/anger_00197.wav,7.65,16000,23.22,synthetic,mu_law_8k,300-3400,1778143771.32406
anger_00191,anger,data/synthetic/audio/anger/anger_00191.wav,data/synthetic/audio_phone/anger/anger_00191.wav,12.1,16000,22.86,synthetic,mu_law_8k,300-3400,1778143771.3270514
anger_00201,anger,data/synthetic/audio/anger/anger_00201.wav,data/synthetic/audio_phone/anger/anger_00201.wav,7.0,16000,18.58,synthetic,mu_law_8k,300-3400,1778143771.345004
anger_00202,anger,data/synthetic/audio/anger/anger_00202.wav,data/synthetic/audio_phone/anger/anger_00202.wav,5.15,16000,21.45,synthetic,mu_law_8k,300-3400,1778143771.351986
anger_00198,anger,data/synthetic/audio/anger/anger_00198.wav,data/synthetic/audio_phone/anger/anger_00198.wav,9.55,16000,20.02,synthetic,mu_law_8k,300-3400,1778143771.3569715
anger_00203,anger,data/synthetic/audio/anger/anger_00203.wav,data/synthetic/audio_phone/anger/anger_00203.wav,7.25,16000,21.0,synthetic,mu_law_8k,300-3400,1778143771.3619585
anger_00208,anger,data/synthetic/audio/anger/anger_00208.wav,data/synthetic/audio_phone/anger/anger_00208.wav,7.4,16000,16.48,synthetic,mu_law_8k,300-3400,1778143771.3858967
anger_00206,anger,data/synthetic/audio/anger/anger_00206.wav,data/synthetic/audio_phone/anger/anger_00206.wav,9.4,16000,15.2,synthetic,mu_law_8k,300-3400,1778143771.3928764
anger_00211,anger,data/synthetic/audio/anger/anger_00211.wav,data/synthetic/audio_phone/anger/anger_00211.wav,9.45,16000,22.03,synthetic,mu_law_8k,300-3400,1778143771.399857
anger_00214,anger,data/synthetic/audio/anger/anger_00214.wav,data/synthetic/audio_phone/anger/anger_00214.wav,7.7,16000,16.44,synthetic,mu_law_8k,300-3400,1778143771.4008546
anger_00221,anger,data/synthetic/audio/anger/anger_00221.wav,data/synthetic/audio_phone/anger/anger_00221.wav,7.2,16000,16.98,synthetic,mu_law_8k,300-3400,1778143771.4277823
anger_00219,anger,data/synthetic/audio/anger/anger_00219.wav,data/synthetic/audio_phone/anger/anger_00219.wav,8.35,16000,16.94,synthetic,mu_law_8k,300-3400,1778143771.433767
anger_00226,anger,data/synthetic/audio/anger/anger_00226.wav,data/synthetic/audio_phone/anger/anger_00226.wav,7.4,16000,24.59,synthetic,mu_law_8k,300-3400,1778143771.4397502
anger_00224,anger,data/synthetic/audio/anger/anger_00224.wav,data/synthetic/audio_phone/anger/anger_00224.wav,9.75,16000,16.2,synthetic,mu_law_8k,300-3400,1778143771.4462414
anger_00230,anger,data/synthetic/audio/anger/anger_00230.wav,data/synthetic/audio_phone/anger/anger_00230.wav,8.25,16000,16.21,synthetic,mu_law_8k,300-3400,1778143771.4661877
anger_00233,anger,data/synthetic/audio/anger/anger_00233.wav,data/synthetic/audio_phone/anger/anger_00233.wav,7.8,16000,21.38,synthetic,mu_law_8k,300-3400,1778143771.4751642
anger_00232,anger,data/synthetic/audio/anger/anger_00232.wav,data/synthetic/audio_phone/anger/anger_00232.wav,7.45,16000,15.95,synthetic,mu_law_8k,300-3400,1778143771.4781585
anger_00236,anger,data/synthetic/audio/anger/anger_00236.wav,data/synthetic/audio_phone/anger/anger_00236.wav,9.6,16000,22.84,synthetic,mu_law_8k,300-3400,1778143771.4871318
anger_00238,anger,data/synthetic/audio/anger/anger_00238.wav,data/synthetic/audio_phone/anger/anger_00238.wav,7.85,16000,18.02,synthetic,mu_law_8k,300-3400,1778143771.5090735
anger_00240,anger,data/synthetic/audio/anger/anger_00240.wav,data/synthetic/audio_phone/anger/anger_00240.wav,7.75,16000,22.44,synthetic,mu_law_8k,300-3400,1778143771.512066
anger_00241,anger,data/synthetic/audio/anger/anger_00241.wav,data/synthetic/audio_phone/anger/anger_00241.wav,6.65,16000,17.53,synthetic,mu_law_8k,300-3400,1778143771.513063
anger_00242,anger,data/synthetic/audio/anger/anger_00242.wav,data/synthetic/audio_phone/anger/anger_00242.wav,8.1,16000,21.8,synthetic,mu_law_8k,300-3400,1778143771.525031
anger_00245,anger,data/synthetic/audio/anger/anger_00245.wav,data/synthetic/audio_phone/anger/anger_00245.wav,7.3,16000,21.68,synthetic,mu_law_8k,300-3400,1778143771.5499654
anger_00243,anger,data/synthetic/audio/anger/anger_00243.wav,data/synthetic/audio_phone/anger/anger_00243.wav,8.7,16000,24.84,synthetic,mu_law_8k,300-3400,1778143771.5519586
anger_00244,anger,data/synthetic/audio/anger/anger_00244.wav,data/synthetic/audio_phone/anger/anger_00244.wav,9.3,16000,22.81,synthetic,mu_law_8k,300-3400,1778143771.55894
anger_00246,anger,data/synthetic/audio/anger/anger_00246.wav,data/synthetic/audio_phone/anger/anger_00246.wav,8.3,16000,15.9,synthetic,mu_law_8k,300-3400,1778143771.566429
anger_00253,anger,data/synthetic/audio/anger/anger_00253.wav,data/synthetic/audio_phone/anger/anger_00253.wav,5.9,16000,17.35,synthetic,mu_law_8k,300-3400,1778143771.5903642
anger_00248,anger,data/synthetic/audio/anger/anger_00248.wav,data/synthetic/audio_phone/anger/anger_00248.wav,7.1,16000,18.81,synthetic,mu_law_8k,300-3400,1778143771.5913622
anger_00247,anger,data/synthetic/audio/anger/anger_00247.wav,data/synthetic/audio_phone/anger/anger_00247.wav,8.0,16000,20.22,synthetic,mu_law_8k,300-3400,1778143771.5923588
anger_00255,anger,data/synthetic/audio/anger/anger_00255.wav,data/synthetic/audio_phone/anger/anger_00255.wav,7.3,16000,24.84,synthetic,mu_law_8k,300-3400,1778143771.6103117
anger_00256,anger,data/synthetic/audio/anger/anger_00256.wav,data/synthetic/audio_phone/anger/anger_00256.wav,6.1,16000,16.02,synthetic,mu_law_8k,300-3400,1778143771.6212823
anger_00257,anger,data/synthetic/audio/anger/anger_00257.wav,data/synthetic/audio_phone/anger/anger_00257.wav,7.5,16000,20.46,synthetic,mu_law_8k,300-3400,1778143771.6322517
anger_00259,anger,data/synthetic/audio/anger/anger_00259.wav,data/synthetic/audio_phone/anger/anger_00259.wav,8.8,16000,17.39,synthetic,mu_law_8k,300-3400,1778143771.6392334
anger_00262,anger,data/synthetic/audio/anger/anger_00262.wav,data/synthetic/audio_phone/anger/anger_00262.wav,6.05,16000,17.52,synthetic,mu_law_8k,300-3400,1778143771.6561875
anger_00261,anger,data/synthetic/audio/anger/anger_00261.wav,data/synthetic/audio_phone/anger/anger_00261.wav,7.9,16000,20.22,synthetic,mu_law_8k,300-3400,1778143771.6591804
anger_00266,anger,data/synthetic/audio/anger/anger_00266.wav,data/synthetic/audio_phone/anger/anger_00266.wav,6.45,16000,22.45,synthetic,mu_law_8k,300-3400,1778143771.668158
anger_00269,anger,data/synthetic/audio/anger/anger_00269.wav,data/synthetic/audio_phone/anger/anger_00269.wav,6.85,16000,20.17,synthetic,mu_law_8k,300-3400,1778143771.683116
anger_00274,anger,data/synthetic/audio/anger/anger_00274.wav,data/synthetic/audio_phone/anger/anger_00274.wav,7.05,16000,21.19,synthetic,mu_law_8k,300-3400,1778143771.6960814
anger_00271,anger,data/synthetic/audio/anger/anger_00271.wav,data/synthetic/audio_phone/anger/anger_00271.wav,7.05,16000,23.69,synthetic,mu_law_8k,300-3400,1778143771.6970785
anger_00275,anger,data/synthetic/audio/anger/anger_00275.wav,data/synthetic/audio_phone/anger/anger_00275.wav,7.45,16000,19.94,synthetic,mu_law_8k,300-3400,1778143771.7070518
anger_00278,anger,data/synthetic/audio/anger/anger_00278.wav,data/synthetic/audio_phone/anger/anger_00278.wav,5.45,16000,15.66,synthetic,mu_law_8k,300-3400,1778143771.7160275
anger_00281,anger,data/synthetic/audio/anger/anger_00281.wav,data/synthetic/audio_phone/anger/anger_00281.wav,6.75,16000,17.17,synthetic,mu_law_8k,300-3400,1778143771.7319849
anger_00280,anger,data/synthetic/audio/anger/anger_00280.wav,data/synthetic/audio_phone/anger/anger_00280.wav,7.55,16000,24.95,synthetic,mu_law_8k,300-3400,1778143771.73797
anger_00282,anger,data/synthetic/audio/anger/anger_00282.wav,data/synthetic/audio_phone/anger/anger_00282.wav,7.8,16000,24.37,synthetic,mu_law_8k,300-3400,1778143771.7489402
anger_00286,anger,data/synthetic/audio/anger/anger_00286.wav,data/synthetic/audio_phone/anger/anger_00286.wav,7.35,16000,24.49,synthetic,mu_law_8k,300-3400,1778143771.7549236
anger_00292,anger,data/synthetic/audio/anger/anger_00292.wav,data/synthetic/audio_phone/anger/anger_00292.wav,7.5,16000,20.93,synthetic,mu_law_8k,300-3400,1778143771.766892
